,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,boyband
39,병,bts,0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,239722,4,True
40,INTRO : Calling,bts,0.486,0.61,10,-12.063,1,0.0348,0.582,0.791,0.144,0.0806,144.992,84613,4,True
41,Stay Gold,bts,0.724,0.631,1,-5.403,1,0.0517,0.0873,0.0,0.0752,0.548,129.019,243733,4,True
42,Boy With Luv - Japanese ver.,bts,0.677,0.843,11,-5.087,0,0.0795,0.131,0.0,0.204,0.807,119.968,231227,4,True
43,Make It Right - Japanese ver.,bts,0.571,0.703,7,-7.401,1,0.468,0.0163,0.0,0.262,0.238,104.067,225520,4,True
44,Dionysus - Japanese ver.,bts,0.455,0.893,7,-3.712,1,0.148,0.0218,0.0,0.358,0.588,175.992,248907,4,True
45,IDOL - Japanese ver.,bts,0.714,0.844,6,-3.472,0,0.117,0.00176,0.0,0.147,0.424,126.0,222173,4,True
46,Airplane pt.2 - Japanese ver.,bts,0.77,0.803,0,-4.189,0,0.0301,0.0539,0.0,0.0812,0.903,140.02,220920,4,True
47,FAKE LOVE - Japanese ver.,bts,0.577,0.746,2,-4.284,0,0.0386,0.00283,0.0,0.29,0.382,77.493,244813,4,True
48,Black Swan - Japanese ver.,bts,0.714,0.736,2,-5.724,0,0.0819,0.166,0.0,0.133,0.536,147.037,198760,4,True
49,ON - Japanese ver.,bts,0.598,0.821,9,-5.653,0,0.114,0.119,0.0,0.298,0.428,105.991,247987,4,True
50,Lights,bts,0.625,0.663,5,-5.115,1,0.0302,0.112,0.0,0.105,0.398,98.998,292773,4,True
51,Your eyes tell,bts,0.449,0.491,9,-6.433,0,0.029,0.279,0.0,0.0654,0.258,139.923,245147,4,True
52,OUTRO : The Journey,bts,0.523,0.455,9,-14.26,0,0.0632,0.704,0.459,0.135,0.165,136.959,76507,4,True
53,작은 것들을 위한 시 (Boy With Luv) [feat. Halsey],bts,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,229773,4,True
54,Make It Right,bts,0.639,0.706,7,-7.874,1,0.448,0.0104,0.0,0.132,0.259,105.782,226321,4,True
55,Dionysus,bts,0.502,0.91,7,-2.769,1,0.107,0.04,0.0,0.319,0.588,176.084,249215,4,True
56,Interlude : Shadow,bts,0.384,0.798,9,-6.439,0,0.434,0.115,0.0,0.181,0.146,149.854,259821,4,True
57,Black Swan,bts,0.719,0.757,2,-5.167,0,0.0849,0.137,0.0,0.129,0.489,147.024,198261,4,True
58,시차,bts,0.674,0.641,0,-5.139,0,0.0339,0.149,0.0,0.0925,0.664,99.91,234458,4,True
59,Louder than bombs,bts,0.643,0.667,0,-6.947,0,0.151,0.0432,0.0,0.0904,0.478,145.999,217404,4,True
60,욱 (UGH!),bts,0.72,0.824,10,-5.086,0,0.128,0.0394,0.0,0.0509,0.333,165.996,225012,4,True
61,00:00 (Zero O’Clock),bts,0.56,0.547,1,-6.456,1,0.0675,0.0806,0.0,0.11,0.199,157.962,250296,4,True
62,Inner Child,bts,0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.33,134.953,233266,4,True
63,친구,bts,0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.649,79.979,199339,4,True
64,Respect,bts,0.661,0.838,0,-4.806,1,0.116,0.00491,0.0,0.287,0.526,91.463,237540,4,True
65,We are Bulletproof : the Eternal,bts,0.522,0.574,9,-5.225,0,0.0317,0.224,0.0,0.108,0.176,84.044,261543,4,True
66,ON (Feat. Sia),bts,0.591,0.848,9,-4.396,0,0.0828,0.137,0.0,0.372,0.385,105.924,246816,4,True
67,Boy With Luv (feat. Halsey),bts,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,229773,4,True
68,Mikrokosmos,bts,0.579,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.043,224225,3,True
69,HOME,bts,0.633,0.799,7,-4.625,0,0.0427,0.0144,0.0,0.194,0.534,142.991,234178,4,True
70,Trivia 起 : Just Dance,bts,0.723,0.906,1,-4.777,0,0.281,0.0929,0.0,0.0771,0.393,125.023,225221,4,True
71,Serendipity - Full Length Edition,bts,0.422,0.578,8,-7.524,1,0.0548,0.443,0.0,0.231,0.227,128.921,276708,4,True
72,Trivia 承 : Love,bts,0.761,0.761,5,-5.721,0,0.0899,0.242,0.0,0.103,0.484,121.971,225698,4,True
73,The Truth Untold,bts,0.571,0.422,1,-7.561,0,0.0422,0.374,0.0,0.127,0.169,113.016,242293,4,True
74,Tear,bts,0.711,0.903,6,-2.723,0,0.246,0.327,0.0,0.0887,0.469,140.02,284981,4,True
75,Epiphany,bts,0.508,0.559,2,-6.366,0,0.0276,0.288,0.0,0.131,0.329,135.866,240362,4,True
76,I'm Fine,bts,0.511,0.84,11,-2.781,0,0.103,0.00852,0.0,0.346,0.303,87.605,240339,4,True
77,Answer : Love Myself,bts,0.568,0.793,1,-3.749,1,0.0406,0.189,0.0,0.111,0.45,108.051,251280,4,True
78,Magic Shop,bts,0.531,0.661,1,-5.836,1,0.0907,0.103,0.0,0.0779,0.278,149.934,275696,4,True
79,Best Of Me,bts,0.655,0.756,8,-4.388,1,0.07,0.0298,0.0,0.396,0.469,121.936,227191,4,True
80,Airplane pt.2,bts,0.77,0.817,0,-4.092,0,0.0339,0.0265,0.000103,0.084,0.866,139.979,218615,4,True
81,Go Go,bts,0.856,0.617,10,-5.308,0,0.084,0.171,0.0,0.0857,0.759,136.081,235780,4,True
82,Anpanman,bts,0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989,232966,4,True
83,MIC Drop,bts,0.667,0.889,6,-4.851,1,0.0917,0.00912,0.0,0.0816,0.541,169.961,238193,4,True
84,DNA - Pedal 2 LA Mix,bts,0.487,0.956,1,-3.44,0,0.134,0.0352,0.0,0.301,0.482,129.966,247483,4,True
85,FAKE LOVE - Rocking Vibe Mix,bts,0.466,0.804,2,-4.009,0,0.0392,0.0573,0.0,0.432,0.352,154.901,238494,4,True
86,MIC Drop (Steve Aoki Remix) - Full Length Edition,bts,0.606,0.85,11,-3.952,1,0.183,0.0114,1.01e-06,0.206,0.542,170.01,307676,4,True
87,Intro: Singularity,bts,0.775,0.272,1,-9.126,0,0.091,0.56,0.00278,0.112,0.198,103.991,196998,3,True
88,전하지 못한 진심 (feat. Steve Aoki),bts,0.571,0.422,1,-7.561,0,0.0422,0.374,0.0,0.127,0.169,113.016,242293,4,True
89,134340,bts,0.665,0.687,11,-6.466,0,0.0547,0.155,9.28e-05,0.173,0.651,106.023,230063,4,True
90,낙원,bts,0.551,0.828,5,-5.523,1,0.352,0.214,0.0,0.0571,0.928,139.662,211224,4,True
91,Love Maze,bts,0.637,0.876,9,-4.652,1,0.0618,0.0483,0.0,0.0728,0.759,149.93,221529,4,True
92,So What,bts,0.657,0.883,9,-4.294,0,0.0733,0.0238,0.0,0.0481,0.461,129.943,281521,4,True
93,Outro: Tear,bts,0.711,0.903,6,-2.723,0,0.246,0.327,0.0,0.0887,0.469,140.02,284981,4,True
94,INTRO : Ringwanderung,bts,0.589,0.824,10,-6.402,0,0.26,0.552,0.0275,0.133,0.207,115.3,86053,4,True
95,Best Of Me - Japanese ver.,bts,0.659,0.769,0,-4.262,0,0.0831,0.0366,0.0,0.405,0.398,122.006,227920,4,True
96,血、汗、涙 - Japanese ver.,bts,0.553,0.897,0,-2.889,0,0.0761,0.0447,0.0,0.379,0.574,92.99,215053,4,True
97,DNA - Japanese ver.,bts,0.578,0.763,1,-3.612,0,0.0585,0.00336,0.0,0.0666,0.665,129.87,224920,4,True
98,Not Today - Japanese ver.,bts,0.591,0.955,8,-2.953,1,0.143,0.00188,0.0,0.963,0.641,110.063,232133,4,True
99,MIC Drop - Japanese ver.,bts,0.662,0.913,3,-4.482,0,0.149,0.0157,0.0,0.131,0.636,169.956,238680,4,True
100,Don't Leave Me,bts,0.62,0.778,8,-4.622,0,0.0724,0.116,0.0,0.312,0.386,147.012,227413,4,True
101,Go Go - Japanese ver.,bts,0.837,0.69,10,-4.705,0,0.088,0.222,0.0,0.0833,0.847,136.07,237307,4,True
102,Crystal Snow,bts,0.61,0.778,3,-4.501,1,0.0323,0.132,0.0,0.126,0.402,113.982,322333,4,True
103,Spring Day - Japanese ver.,bts,0.548,0.837,0,-2.99,0,0.0364,0.015,0.0,0.13,0.327,107.004,274160,4,True
104,Let Go,bts,0.558,0.863,4,-3.53,1,0.178,0.17,0.0,0.289,0.388,173.908,299707,4,True
105,OUTRO : Crack,bts,0.729,0.386,2,-5.623,1,0.382,0.864,0.574,0.114,0.0567,90.138,74747,4,True
106,Intro: Serendipity,bts,0.477,0.581,8,-8.795,1,0.119,0.523,0.0,0.201,0.282,129.571,139972,4,True
107,dimple,bts,0.612,0.844,5,-4.694,0,0.0757,0.14,0.0,0.289,0.652,134.872,196776,4,True
108,Pied Piper,bts,0.583,0.712,2,-4.942,0,0.0326,0.2,0.0,0.268,0.778,94.051,245621,4,True
109,Skit: Billboard Music Awards Speech,bts,0.315,0.694,3,-15.389,1,0.398,0.38,0.000203,0.66,0.327,90.586,107062,3,True
110,Outro: Her,bts,0.48,0.927,3,-5.704,1,0.27,0.317,0.0,0.0583,0.45,88.804,228613,4,True
111,Intro: Boy Meets Evil,bts,0.573,0.89,5,-3.53,0,0.214,0.0212,0.0,0.132,0.242,130.251,121771,4,True
112,피 땀 눈물,bts,0.584,0.885,0,-3.571,0,0.104,0.0244,0.0,0.357,0.605,92.9,217052,4,True
113,Begin,bts,0.566,0.842,9,-5.222,0,0.0442,0.00357,0.000253,0.141,0.308,131.05,229740,4,True
114,Lie,bts,0.541,0.779,6,-5.581,0,0.033,0.00338,0.0,0.177,0.501,94.069,215753,3,True
115,Stigma,bts,0.566,0.475,0,-5.556,0,0.089,0.148,0.0,0.139,0.335,136.442,216063,4,True
116,First Love,bts,0.545,0.74,8,-5.997,0,0.308,0.364,0.0,0.164,0.671,86.842,189795,4,True
117,Reflection,bts,0.555,0.607,2,-7.991,1,0.085,0.0135,1.59e-06,0.2,0.273,73.997,233917,4,True
118,MAMA,bts,0.543,0.739,5,-4.818,0,0.232,0.000226,2.14e-05,0.0816,0.466,185.832,212275,4,True
119,Awake,bts,0.35,0.498,3,-6.589,1,0.0332,0.023,1.99e-06,0.269,0.34,142.803,226161,4,True
120,Lost,bts,0.547,0.838,9,-4.157,0,0.0544,0.000374,0.0,0.0562,0.47,85.018,241787,4,True
121,BTS Cypher 4,bts,0.817,0.797,1,-4.395,0,0.0839,0.00533,7.77e-06,0.0551,0.361,119.978,294463,4,True
122,Am I Wrong,bts,0.76,0.834,6,-4.992,1,0.0494,0.00125,1.07e-05,0.0868,0.679,107.988,213082,4,True
123,21세기 소녀,bts,0.716,0.906,2,-3.539,1,0.0719,0.00424,0.0,0.0547,0.763,101.029,192597,4,True
124,둘! 셋! (그래도 좋은 날이 더 많기를),bts,0.442,0.928,7,-4.096,1,0.207,0.0257,0.0,0.1,0.601,169.847,272537,4,True
125,봄날,bts,0.539,0.846,8,-3.192,1,0.0354,0.00631,1.71e-06,0.13,0.462,106.994,274097,4,True
126,Not Today,bts,0.593,0.945,8,-3.408,1,0.126,0.00174,0.0,0.923,0.674,110.023,231860,4,True
127,Outro: Wings,bts,0.651,0.903,11,-3.117,0,0.129,0.00503,0.0,0.0875,0.658,125.032,225447,4,True
128,A Supplementary Story: You Never Walk Alone,bts,0.696,0.903,8,-4.788,1,0.151,0.00596,0.0,0.0668,0.59,127.994,156061,4,True
129,Interlude: Wings,bts,0.638,0.851,11,-3.042,0,0.0663,0.0102,0.0,0.114,0.6,124.992,144314,4,True
130,INTRODUCTION : YOUTH,bts,0.563,0.909,6,-5.321,0,0.086,0.00148,0.0028,0.364,0.547,87.01,138973,4,True
131,RUN‐Japanese Ver.‐,bts,0.544,0.852,11,-3.406,0,0.0378,0.000742,0.000152,0.0991,0.591,132.979,239230,4,True
132,FIRE‐Japanese Ver.‐,bts,0.651,0.714,3,-2.977,0,0.0699,0.00359,0.0,0.125,0.508,99.999,205373,4,True
133,DOPE‐超ヤベー!‐(Japanese Ver.),bts,0.579,0.897,10,-3.566,0,0.212,0.0285,0.0,0.43,0.545,154.002,241973,4,True
134,Good Day,bts,0.611,0.855,6,-4.722,1,0.0496,0.00953,0.0,0.0901,0.708,94.957,268787,4,True
135,Save ME‐Japanese Ver.‐,bts,0.623,0.804,1,-3.705,1,0.0735,0.0498,0.0,0.0903,0.394,140.077,199667,4,True
136,フンタン少年団(Japanese Ver.),bts,0.683,0.96,8,-3.668,0,0.192,0.0448,0.0,0.372,0.714,116.05,245120,4,True
137,ペップセ‐Japanese Ver.‐,bts,0.669,0.885,9,-3.622,1,0.118,0.000955,0.0,0.0398,0.544,166.967,236293,4,True
138,Wishing on a star,bts,0.543,0.832,8,-4.717,1,0.209,0.0168,0.0,0.0398,0.636,179.963,271760,4,True
139,Butterfly‐Japanese Ver.‐,bts,0.289,0.788,1,-4.452,1,0.0718,0.0218,0.0,0.0553,0.231,69.552,241867,4,True
140,FOR YOU,bts,0.554,0.814,4,-4.312,1,0.211,0.477,0.0,0.111,0.572,166.064,285067,4,True
141,I NEED U(Japanese Ver.),bts,0.487,0.872,5,-3.795,0,0.073,0.0141,0.0,0.278,0.702,158.03,212227,4,True
142,EPILOGUE : Young Forever‐Japanese Ver.‐,bts,0.461,0.76,5,-4.299,0,0.236,0.0221,0.0,0.104,0.349,87.434,173347,4,True
143,Introduction : Youth,bts,0.563,0.909,6,-5.321,0,0.086,0.00148,0.0028,0.364,0.547,87.01,138973,4,True
144,Run - Japanese Ver.,bts,0.544,0.852,11,-3.406,0,0.0378,0.000742,0.000152,0.0991,0.591,132.979,239230,4,True
145,Fire - Japanese Ver.,bts,0.651,0.714,3,-2.977,0,0.0699,0.00359,0.0,0.125,0.508,99.999,205373,4,True
146,Dope - Chou Yabee! - Japanese Ver.,bts,0.579,0.897,10,-3.566,0,0.212,0.0285,0.0,0.43,0.545,154.002,241973,4,True
147,Save Me - Japanese Ver.,bts,0.623,0.804,1,-3.705,1,0.0735,0.0498,0.0,0.0903,0.394,140.077,199667,4,True
148,Funtan Syounendan - Japanese Ver.,bts,0.683,0.96,8,-3.668,0,0.192,0.0448,0.0,0.372,0.714,116.05,245120,4,True
149,Peppuse - Japanese Ver.,bts,0.669,0.885,9,-3.622,1,0.118,0.000955,0.0,0.0398,0.544,166.967,236293,4,True
150,Wishing On A Star,bts,0.543,0.832,8,-4.717,1,0.209,0.0168,0.0,0.0398,0.636,179.963,271760,4,True
151,Butterfly - Japanese Ver.,bts,0.289,0.788,1,-4.452,1,0.0718,0.0218,0.0,0.0553,0.231,69.552,241867,4,True
152,For You,bts,0.554,0.814,4,-4.312,1,0.211,0.477,0.0,0.111,0.572,166.064,285067,4,True
153,I Need U - Japanese Ver.,bts,0.487,0.872,5,-3.795,0,0.073,0.0141,0.0,0.278,0.702,158.03,212227,4,True
154,Epilogue : Young Forever - Japanese Ver.,bts,0.461,0.76,5,-4.299,0,0.236,0.0221,0.0,0.104,0.349,87.434,173347,4,True
155,Intro: 화양연화,bts,0.36,0.97,0,-4.422,0,0.535,0.236,0.0,0.074,0.257,87.12,123033,1,True
156,I Need U,bts,0.478,0.88,5,-3.097,0,0.0739,0.0213,0.0,0.24,0.707,158.356,210987,4,True
157,잡아줘 (Hold Me Tight),bts,0.622,0.728,6,-5.111,1,0.286,0.0511,0.0,0.171,0.394,139.994,274992,4,True
158,고엽,bts,0.619,0.804,10,-3.301,0,0.0424,0.0135,0.0,0.127,0.314,104.978,267151,4,True
159,Butterfly - Prologue Mix,bts,0.373,0.541,1,-6.451,1,0.0526,0.0446,0.001,0.0909,0.134,69.98,295128,4,True
160,Run,bts,0.554,0.878,11,-3.02,0,0.0513,0.00146,0.0,0.0998,0.55,132.896,236748,4,True
161,Ma City,bts,0.668,0.967,6,-2.192,0,0.0957,0.000266,0.0,0.0777,0.807,122.007,256687,4,True
162,뱁새,bts,0.65,0.879,9,-2.886,1,0.073,0.00104,0.0,0.0483,0.536,166.895,233160,4,True
163,쩔어,bts,0.595,0.89,10,-3.109,0,0.245,0.0486,0.0,0.32,0.62,154.071,240021,4,True
164,불타오르네 (Fire),bts,0.626,0.706,10,-3.201,0,0.0596,0.00225,0.0,0.122,0.534,99.939,203352,4,True
165,Save Me,bts,0.613,0.822,1,-3.48,1,0.062,0.0269,0.0,0.0783,0.54,139.936,196506,4,True
166,Epilogue: Young Forever,bts,0.606,0.815,5,-3.818,0,0.232,0.04,0.0,0.119,0.386,88.054,171803,4,True
167,Converse High,bts,0.724,0.793,1,-3.982,1,0.0895,0.0597,0.0,0.201,0.817,98.003,209715,4,True
168,이사,bts,0.684,0.914,0,-3.199,1,0.204,0.0128,0.0,0.0543,0.929,159.996,292569,4,True
169,Whalien 52,bts,0.585,0.93,10,-2.707,0,0.241,0.0992,2.54e-06,0.345,0.735,90.03,243222,4,True
170,Butterfly,bts,0.461,0.776,6,-4.498,1,0.0565,0.0149,0.0,0.12,0.291,149.985,238862,4,True
171,House of Cards - Full Length Edition,bts,0.367,0.668,2,-4.484,0,0.052,0.336,0.0,0.147,0.384,104.961,226212,4,True
172,Love Is Not Over - Full Length Edition,bts,0.462,0.576,2,-5.089,1,0.0831,0.124,0.0,0.127,0.278,102.972,221620,4,True
173,I Need U - Urban Mix,bts,0.56,0.814,5,-3.603,0,0.0688,0.108,0.0,0.188,0.532,74.01,215189,4,True
174,I Need U - Remix,bts,0.519,0.918,5,-2.838,0,0.208,0.00258,3.55e-06,0.448,0.49,158.052,223013,4,True
175,Run - Ballad Mix,bts,0.568,0.775,6,-3.188,0,0.0361,0.0311,0.0,0.379,0.595,128.019,257000,4,True
176,Run - Alternative Mix,bts,0.595,0.87,6,-3.086,0,0.0321,0.000183,3.94e-05,0.371,0.586,132.99,236437,4,True
177,Butterfly - Alternative Mix,bts,0.345,0.717,6,-4.6,1,0.0479,0.00633,0.0,0.149,0.209,149.541,241144,4,True
178,Intro: The Most Beautiful Moment in Life,bts,0.36,0.97,0,-4.422,0,0.535,0.236,0.0,0.074,0.257,87.12,123033,1,True
179,Hold Me Tight,bts,0.622,0.728,6,-5.111,1,0.286,0.0511,0.0,0.171,0.394,139.994,274992,4,True
180,Autumn Leaves,bts,0.619,0.804,10,-3.301,0,0.0424,0.0135,0.0,0.127,0.314,104.978,267151,4,True
181,Silver Spoon,bts,0.65,0.879,9,-2.886,1,0.073,0.00104,0.0,0.0483,0.536,166.895,233160,4,True
182,Dope,bts,0.595,0.89,10,-3.109,0,0.245,0.0486,0.0,0.32,0.62,154.071,240021,4,True
183,Burning Up (Fire),bts,0.626,0.706,10,-3.201,0,0.0596,0.00225,0.0,0.122,0.534,99.939,203352,4,True
184,Moving On,bts,0.684,0.914,0,-3.199,1,0.204,0.0128,0.0,0.0543,0.929,159.996,292569,4,True
185,Intro: Never Mind,bts,0.339,0.949,6,-4.942,0,0.904,0.00765,0.0,0.329,0.397,79.956,136428,4,True
186,Skit: One Night in a Strange City,bts,0.575,0.499,3,-11.552,1,0.936,0.772,0.0,0.42,0.667,160.296,263130,4,True
187,Outro: House of Cards,bts,0.37,0.652,2,-4.717,1,0.0402,0.4,0.0,0.129,0.265,104.162,177414,4,True
188,Skit: Expectation!,bts,0.635,0.167,9,-21.117,0,0.665,0.893,0.0,0.501,0.712,100.544,147694,3,True
189,흥탄소년단,bts,0.704,0.96,1,-2.606,0,0.192,0.0808,0.0,0.383,0.751,116.024,244156,4,True
190,Outro: Love Is Not Over,bts,0.719,0.335,2,-8.085,1,0.06,0.632,0.0,0.131,0.218,105.062,143863,4,True
191,Boyz with Fun,bts,0.704,0.96,1,-2.606,0,0.192,0.0808,0.0,0.383,0.751,116.024,244156,4,True
192,Intro.,bts,0.807,0.903,6,-3.748,0,0.311,0.146,0.0,0.362,0.786,106.568,75080,4,True
193,The Stars,bts,0.602,0.957,0,-3.132,1,0.244,0.0292,0.0,0.101,0.574,170.054,255320,4,True
194,Jump - Japanese Ver.,bts,0.489,0.969,7,-2.916,0,0.357,0.0361,0.0,0.592,0.698,102.07,237200,4,True
195,Danger - Japanese Ver.,bts,0.727,0.847,1,-4.2,1,0.0517,0.000606,0.00109,0.107,0.413,112.051,248693,4,True
196,Boy In Luv - Japanese Ver.,bts,0.563,0.903,4,-5.089,0,0.144,0.00113,0.0,0.242,0.578,82.973,232507,4,True
197,Just One Day - Japanese Ver.,bts,0.694,0.579,9,-7.567,1,0.232,0.0615,0.0,0.0901,0.34,94.937,241040,4,True
198,Iine!,bts,0.71,0.691,3,-5.56,1,0.168,0.241,0.0,0.0977,0.702,100.778,233480,4,True
199,Iine!Pt.2 - Ano Bashode -,bts,0.684,0.717,11,-5.765,0,0.151,0.478,0.0,0.367,0.861,95.039,235467,4,True
200,No More Dream - Japanese Ver.,bts,0.666,0.863,2,-4.403,1,0.408,0.0222,0.0,0.452,0.616,167.916,221293,4,True
201,Shingeki no Boudan - Japanese Ver.,bts,0.645,0.972,11,-3.029,0,0.338,0.0422,0.0,0.178,0.57,118.101,247120,4,True
202,N.O - Japanese Ver.,bts,0.597,0.858,7,-6.244,1,0.14,0.029,0.0,0.136,0.588,146.983,211707,4,True
203,Wake Up,bts,0.709,0.686,8,-4.797,1,0.0487,0.1,0.0,0.0865,0.734,91.016,352133,4,True
204,Outro.,bts,0.679,0.7,2,-5.724,1,0.079,0.696,1.67e-05,0.209,0.786,96.059,96493,4,True
205,INTRO.,bts,0.807,0.903,6,-3.748,0,0.311,0.146,0.0,0.362,0.786,106.568,75080,4,True
206,THE STARS,bts,0.602,0.957,0,-3.132,1,0.244,0.0292,0.0,0.101,0.574,170.054,255320,4,True
207,JUMP -Japanese Ver.-,bts,0.489,0.969,7,-2.916,0,0.357,0.0361,0.0,0.592,0.698,102.07,237200,4,True
208,Danger -Japanese Ver.-,bts,0.727,0.847,1,-4.2,1,0.0517,0.000606,0.00109,0.107,0.413,112.051,248693,4,True
209,BOY IN LUV -Japanese Ver.-,bts,0.527,0.902,4,-5.013,0,0.154,0.00105,0.0,0.172,0.542,82.703,232507,4,True
210,JUST ONE DAY -Japanese Ver. Extended-,bts,0.526,0.486,11,-6.321,0,0.114,0.0931,0.0,0.0895,0.368,94.875,333547,4,True
211,いいね!,bts,0.71,0.691,3,-5.56,1,0.168,0.241,0.0,0.0977,0.702,100.778,233480,4,True
212,いいね!Pt.2 ~あの場所で~,bts,0.684,0.717,11,-5.765,0,0.151,0.478,0.0,0.367,0.861,95.039,235467,4,True
